respondent_id,question,code,theme,quote
0,Q10,experiencia_positiva_geral,,"foi uma ótima experiência, embora complicada"
1,Q10,sem_experiencia,T6_RE_ML_gap,Não
2,Q10,experiencia_inicial_projeto,,primeiros passos quando começamos um projeto
3,Q10,requisitos_para_modelo_ml_distintos,T6_RE_ML_gap,"levantei a necessidade de termos requisitos claros... para o modelo, para alinhar comportamento e performance às expectativas dos stakeholders"
3,Q10,colaboracao_com_qa,,"levantei a necessidade de termos requisitos claros... para o modelo, para alinhar comportamento e performance às expectativas dos stakeholders"
3,Q10,alinhamento_stakeholders,,"levantei a necessidade de termos requisitos claros... para o modelo, para alinhar comportamento e performance às expectativas dos stakeholders"
4,Q10,experiencia_completa_ciclo,,todas as fases do ciclo de um projeto em Ciência de Dados
5,Q10,sem_experiencia,T6_RE_ML_gap,Não
6,Q10,sem_experiencia,T6_RE_ML_gap,Não
7,Q10,experiencia_diversificada,,"projetos de diversas aplicações, metodologias e tecnologias"
8,Q10,documentacao_formal,,"Registro formal dos requisitos em documentos detalhados, especificações funcionais e não funcionais, casos de uso"
9,Q10,experiencia_apenas_academica,T6_RE_ML_gap,apenas em trabalhos acadêmicos
10,Q10,elicitacao_estruturada,,"elicitação de requisitos, análise de documentos e entrevistas semiestruturadas"
11,Q10,sem_experiencia,T6_RE_ML_gap,Nunca participei
12,Q10,experiencia_apenas_academica,T6_RE_ML_gap,em disciplinas na universidade... extrema importância porque era o que nos guiava no desenvolvimento
12,Q10,reconhecimento_importancia,,em disciplinas na universidade... extrema importância porque era o que nos guiava no desenvolvimento
13,Q10,papel_periferico,T6_RE_ML_gap,mais voltada para a documentação do código e na criação de diagramas referentes a pipelines
13,Q10,foco_documentacao_codigo,T6_RE_ML_gap,mais voltada para a documentação do código e na criação de diagramas referentes a pipelines
14,Q10,foco_dependencias,T6_RE_ML_gap,Somente documentação de dependências e bibliotecas
15,Q10,refinamento_iterativo,,"refinamento de requisitos, discutimos com a equipe a complexidade e capacidade do time"
15,Q10,discussao_complexidade,,"refinamento de requisitos, discutimos com a equipe a complexidade e capacidade do time"
16,Q10,requisitos_processo_negocio,,escopo analise e desenho dos processos de negócio implicados na mudança
17,Q10,sem_experiencia,T6_RE_ML_gap,Não
18,Q10,experiencia_minima,T6_RE_ML_gap,Sim
19,Q10,prazos_curtos_limitam,T6_RE_ML_gap,prazos sempre foram extremamente curtos para realizar um estudo aprofundado... empresas com menor capital tendem a ser mais exploratórias e desorganizadas
19,Q10,foco_coleta,,prazos sempre foram extremamente curtos para realizar um estudo aprofundado... empresas com menor capital tendem a ser mais exploratórias e desorganizadas
19,Q10,variabilidade_porte_empresa,T1_Contextualism,prazos sempre foram extremamente curtos para realizar um estudo aprofundado... empresas com menor capital tendem a ser mais exploratórias e desorganizadas
20,Q10,sem_experiencia,T6_RE_ML_gap,Nunca participei de atividades de engenharia de requisitos
21,Q10,resposta_vazia,,…
22,Q10,foco_funcionais_apis,T6_RE_ML_gap,requisitos funcionais como integrações utilizando API e cadastros de usuarios
23,Q10,dependencia_especialistas_dominio,T6_RE_ML_gap,"trabalhoso e demorado, pois é preciso ter o entendimento do contexto de negócio... regras estão na cabeça do usuário"
23,Q10,trabalho_demorado,T6_RE_ML_gap,"trabalhoso e demorado, pois é preciso ter o entendimento do contexto de negócio... regras estão na cabeça do usuário"
24,Q10,sem_experiencia,T6_RE_ML_gap,Não
25,Q10,experiencia_completa_ciclo,,descrever e avaliar a viabilidade na fase de concepção
25,Q10,avaliacao_viabilidade,,descrever e avaliar a viabilidade na fase de concepção
26,Q10,reconhecimento_importancia,,"etapa crucial para a definição de um bom escopo, evitando atritos entre a equipe e o cliente"
26,Q10,prevencao_atritos,,"etapa crucial para a definição de um bom escopo, evitando atritos entre a equipe e o cliente"
27,Q10,elicitacao_informal,T6_RE_ML_gap,"de maneira informal com os membros relevantes do time em uma reunião, sem geração de um documento formalizando tudo"
27,Q10,sem_documento_formal,T6_RE_ML_gap,"de maneira informal com os membros relevantes do time em uma reunião, sem geração de um documento formalizando tudo"
28,Q10,jornadas_usuario,,jornadas de usuário conversando com clientes para entender como um produto de IA poderia ajudar no cotidiano
28,Q10,foco_publico_alvo,,jornadas de usuário conversando com clientes para entender como um produto de IA poderia ajudar no cotidiano
29,Q10,refinamento_iterativo,,"reunião com o cliente onde ele faz o levantamento dos cenários... criação das Histórias, Cenários e Requisitos Funcionais e Não Funcionais"
29,Q10,levantamento_cenarios,,"reunião com o cliente onde ele faz o levantamento dos cenários... criação das Histórias, Cenários e Requisitos Funcionais e Não Funcionais"
29,Q10,requisitos_funcionais_e_nfr,,"reunião com o cliente onde ele faz o levantamento dos cenários... criação das Histórias, Cenários e Requisitos Funcionais e Não Funcionais"
30,Q10,experiencia_completa_ciclo,,"análise de sistemas anteriores e documentações existentes, além de entrevistas e confecção de protótipos"
