code,label,theme,n_references,example_respondent,example_quote
contexto_dependente,Balance depends on project context,T1_Contextualism,9,P16,Dependem do escopo do projeto e o do objetivo do aprendizado
contexto_dominio_medico,Medical domain has its own constraints,T1_Contextualism,3,P12,"trabalho com imagens médicas, conciliação entre falta de consistência e atualidade com compreensibilidade, disponibilidade, acessibilidade e principalmente credibilidade"
variabilidade_porte_empresa,Variability with company size,T1_Contextualism,1,P19,prazos sempre foram extremamente curtos para realizar um estudo aprofundado... empresas com menor capital tendem a ser mais exploratórias e desorganizadas
sensibilidade_dominio,"Domain sensitivity (healthcare, banking)",T1_Contextualism,1,P20,todos requisitos são essenciais dependendo do contexto... a conformidade depende do quão sensíveis forem os dados... a eficiência vai depender se o sistema é utilizado em tempo real
requisitos_temporais,Temporal requirements (real-time),T1_Contextualism,1,P20,todos requisitos são essenciais dependendo do contexto... a conformidade depende do quão sensíveis forem os dados... a eficiência vai depender se o sistema é utilizado em tempo real
contexto_dependente_aplicacao,Depends on the application/user,T1_Contextualism,1,P02,depende de como nossa aplicação precisará responder ao usuário
contexto_dependente_tempo_real,Depends on temporal requirements,T1_Contextualism,1,P26,"se há requisitos de tempo real ou não, se o tempo de espera para a resposta é sensível, pode levar a maior flexibilidade quanto a taxas de acerto"
contexto_dominio_biometrico,Biometric domain,T1_Contextualism,1,P28,sistemas biométricos... etapas de limpezas bem complexas priorizando eficiência e precisão... validação humana após a execução do modelo
contexto_dominio_critico,Critical domains (healthcare/life),T1_Contextualism,1,P30,"saúde, vida e morte deve considerar apenas dados de boa qualidade... qualquer dado não confiável deve ser eliminado"
contexto_visao_computacional,Computer vision domain,T1_Contextualism,1,P14,"em visão computacional, dados precisam ser direta e com exatidão... a depender da quantidade, não pode ser muito grande"
impacto_modelo,Direct impact on the model,T2_Garbage_in_out,2,P07,"se os dados forem uma bagunça, o modelo só vai cuspir lixo sofisticado"
qualidade_pipeline,Compromises the entire pipeline,T2_Garbage_in_out,2,P17,"se isso não acontecer, todo o resultado proveniente do seu pipeline de ML pode estar comprometido... a rastreabilidade é super importante para a execução de testes com dados mais antigos, debug ou rollback"
garbage_in_garbage_out,Garbage-in/garbage-out principle,T2_Garbage_in_out,1,P07,"se os dados forem uma bagunça, o modelo só vai cuspir lixo sofisticado"
prevencao_falha_silenciosa,Prevention of silent failures,T2_Garbage_in_out,1,P29,"a negligência a esses pontos... podem levar a resultados que parecem promissores, mas que em uma análise mais profunda pode estar relacionada a dados que não são devidamente limpos"
prevencao_overfitting_underfitting,Prevention of overfitting/underfitting,T2_Garbage_in_out,1,P29,"se não considerados no início do projeto, podem levar a modelos com overfitting ou underfitting"
qualidade_imprescindivel,"Indispensable quality, no middle ground",T2_Garbage_in_out,1,P30,"todo dado utilizado na execução de algoritmos de ML deve ter qualidade, senão todo resultado será duvidoso e não confiável. Não existe meio termo"
sem_meio_termo,No middle ground between high and low quality,T2_Garbage_in_out,1,P30,"todo dado utilizado na execução de algoritmos de ML deve ter qualidade, senão todo resultado será duvidoso e não confiável. Não existe meio termo"
impacto_qualidade_resposta_usuario,Quality affects user-facing output,T2_Garbage_in_out,1,P18,quando os dados não são consistentes ou incompletos a inferência e resultado final ao cliente pode ser confuso... gastos de infra em todo o fluxo
custo_retrabalho,Rework/infra cost,T2_Garbage_in_out,1,P18,quando os dados não são consistentes ou incompletos a inferência e resultado final ao cliente pode ser confuso... gastos de infra em todo o fluxo
qualidade_imprescindivel_em_critico,Indispensable quality in critical domains,T2_Garbage_in_out,1,P30,"saúde, vida e morte deve considerar apenas dados de boa qualidade... qualquer dado não confiável deve ser eliminado"
trade_off_consistencia_credibilidade,Trade-off across sources (consistency × credibility),T3_Trade_offs,2,P12,"trabalho com imagens médicas, conciliação entre falta de consistência e atualidade com compreensibilidade, disponibilidade, acessibilidade e principalmente credibilidade"
trade_off_precisao_eficiencia,Trade-off precision × efficiency,T3_Trade_offs,1,P00,"para modelos críticos, como risco de crédito, priorizamos interpretabilidade... combinamos regras simples com machine learning sofisticado"
trade_off_complexidade_praticidade,Trade-off complexity × practicality,T3_Trade_offs,1,P07,o segredo é encontrar o ponto ideal entre complexidade e praticidade
trade_off_simplicidade_complexidade,Trade-off simplicity × model complexity,T3_Trade_offs,1,P05,"seleção de features, redução de dimensionalidade e limpeza de dados... modelos mais simples preferíveis quando explicabilidade é essencial"
trade_off_volume_eficiencia,Trade-off volume × efficiency,T3_Trade_offs,1,P14,"em visão computacional, dados precisam ser direta e com exatidão... a depender da quantidade, não pode ser muito grande"
trade_off_completude_confiabilidade,Trade-off completeness × reliability,T3_Trade_offs,1,P15,"as vezes os dados podem não estar completos, mas a confiabilidade pode ser mais alta"
trade_off_resolucao_custo_computacional,Trade-off resolution × compute cost,T3_Trade_offs,1,P25,sistemas de análises médicas... imagens clínicas geralmente têm alta resolução pois demandam confiabilidade... grandes volumes impactam eficiência computacional
trade_off_robustez_capacidade_computacional,Trade-off dataset robustness × compute capacity,T3_Trade_offs,1,P13,"sempre venho dando mais ênfase na precisão dos dados, seguido da compreensibilidade e eficiência... escolha entre dois datasets, um mais robusto que iria demandar muito mais poder computacional"
todas_importantes,All characteristics are important,T4_Quality_hierarchy,2,P11,separação foi mais pensando em algo que podemos fazer/corrigir em um segundo momento ou algo que é fundamental de ser pensado desde o início... qualidade dos dados são coisas inegociáveis
hierarquia_precisao_compreensibilidade_eficiencia,Explicit hierarchy: precision > understandability > efficiency,T4_Quality_hierarchy,2,P01,"prioridade na precisão, seguido de compreensibilidade e eficiência"
distincao_critico_vs_corrigivel,Distinction between critical and later-fixable,T4_Quality_hierarchy,1,P11,separação foi mais pensando em algo que podemos fazer/corrigir em um segundo momento ou algo que é fundamental de ser pensado desde o início... qualidade dos dados são coisas inegociáveis
qualidade_intrinseca_inegociavel,Intrinsic quality is non-negotiable,T4_Quality_hierarchy,1,P11,separação foi mais pensando em algo que podemos fazer/corrigir em um segundo momento ou algo que é fundamental de ser pensado desde o início... qualidade dos dados são coisas inegociáveis
sequenciamento_qualidade_legibilidade_pipeline,Sequencing: quality → readability → optimization,T4_Quality_hierarchy,1,P11,"foco inicialmente na qualidade dos dados em termos de serem precisos, completos e atuais. Em segundo momento... o usuário do sistema. Finalmente... otimizar o processamento"
caracteristicas_essenciais_universais,Essential-universal characteristic subset,T4_Quality_hierarchy,1,P27,"Precisão, Completude, Consistência, Credibilidade essenciais não importa a situação... Atualidade prioritária para meteorologia, serviços críticos, bancários"
caracteristicas_dependentes_aplicacao,Application-dependent subset,T4_Quality_hierarchy,1,P27,"Precisão, Completude, Consistência, Credibilidade essenciais não importa a situação... Atualidade prioritária para meteorologia, serviços críticos, bancários"
requisitos_para_pesquisa_vs_producao,Requirements differ in research vs production,T4_Quality_hierarchy,1,P27,"Precisão, Completude, Consistência, Credibilidade essenciais não importa a situação... Atualidade prioritária para meteorologia, serviços críticos, bancários"
importancia_para_produto_vs_dados,Greater importance in product than in raw data,T4_Quality_hierarchy,1,P27,"Precisão, Completude, Consistência, Credibilidade essenciais não importa a situação... Atualidade prioritária para meteorologia, serviços críticos, bancários"
limpeza_dados,Cleaning/noise removal,T5_Practices_Tools,2,P05,"seleção de features, redução de dimensionalidade e limpeza de dados... modelos mais simples preferíveis quando explicabilidade é essencial"
interpretabilidade_modelos_criticos,Interpretable models for critical decisions,T5_Practices_Tools,1,P00,"para modelos críticos, como risco de crédito, priorizamos interpretabilidade... combinamos regras simples com machine learning sofisticado"
hibridismo_regras_e_ml,Hybrid rules + ML,T5_Practices_Tools,1,P00,"para modelos críticos, como risco de crédito, priorizamos interpretabilidade... combinamos regras simples com machine learning sofisticado"
selecao_features,Feature selection,T5_Practices_Tools,1,P05,"seleção de features, redução de dimensionalidade e limpeza de dados... modelos mais simples preferíveis quando explicabilidade é essencial"
feature_selection,Iterative feature selection,T5_Practices_Tools,1,P29,treinamentos com diferentes configurações e tipos de dados... Feature Selection pode ser utilizada
reducao_dimensionalidade,Dimensionality reduction,T5_Practices_Tools,1,P05,"seleção de features, redução de dimensionalidade e limpeza de dados... modelos mais simples preferíveis quando explicabilidade é essencial"
limpeza_complexa,Complex pre-modeling cleaning,T5_Practices_Tools,1,P28,sistemas biométricos... etapas de limpezas bem complexas priorizando eficiência e precisão... validação humana após a execução do modelo
monitoramento_continuo,Continuous performance monitoring,T5_Practices_Tools,1,P05,"seleção de features, redução de dimensionalidade e limpeza de dados... modelos mais simples preferíveis quando explicabilidade é essencial"
federated_learning,Federated learning for compliance,T5_Practices_Tools,1,P20,"projeto que trata anamneses de hospitais. Para manter conformidade, abordamos soluções de aprendizado de máquina federado"
papel_ferramentas_plataforma,Off-the-shelf platforms/tools,T5_Practices_Tools,1,P21,boas ferramentas de mercado como o databricks ajuda o cientista a focar na solução
praticas_padronizadas_pilares,Standardized practices across pillars,T5_Practices_Tools,1,P22,"boas práticas para cada pilar como: disponibilidade, segurança, confiabilidade"
validacao_humana,Human post-model validation,T5_Practices_Tools,1,P28,sistemas biométricos... etapas de limpezas bem complexas priorizando eficiência e precisão... validação humana após a execução do modelo
exploracao_amostra,Sample exploration before deciding,T5_Practices_Tools,1,P24,"depende do problema e do conjunto de dados disponível... padronização, remoção de ruídos"
tuning_iterativo,Iterative tuning with different configurations,T5_Practices_Tools,1,P29,treinamentos com diferentes configurações e tipos de dados... Feature Selection pode ser utilizada
sem_experiencia,No RE experience,T6_RE_ML_gap,8,P01,Não
experiencia_apenas_academica,Academic-only experience,T6_RE_ML_gap,2,P09,apenas em trabalhos acadêmicos
experiencia_minima,Minimal experience / no details,T6_RE_ML_gap,1,P18,Sim
requisitos_para_modelo_ml_distintos,ML-specific model requirements,T6_RE_ML_gap,1,P03,"levantei a necessidade de termos requisitos claros... para o modelo, para alinhar comportamento e performance às expectativas dos stakeholders"
sem_documento_formal,Informal/missing documentation,T6_RE_ML_gap,1,P27,"de maneira informal com os membros relevantes do time em uma reunião, sem geração de um documento formalizando tudo"
elicitacao_informal,Informal elicitation (meetings),T6_RE_ML_gap,1,P27,"de maneira informal com os membros relevantes do time em uma reunião, sem geração de um documento formalizando tudo"
foco_documentacao_codigo,Focus on code documentation,T6_RE_ML_gap,1,P13,mais voltada para a documentação do código e na criação de diagramas referentes a pipelines
foco_dependencias,Focus on dependencies/libraries,T6_RE_ML_gap,1,P14,Somente documentação de dependências e bibliotecas
foco_funcionais_apis,Focus on functional (APIs/forms),T6_RE_ML_gap,1,P22,requisitos funcionais como integrações utilizando API e cadastros de usuarios
papel_periferico,Peripheral role in RE,T6_RE_ML_gap,1,P13,mais voltada para a documentação do código e na criação de diagramas referentes a pipelines
prazos_curtos_limitam,Short deadlines limit depth,T6_RE_ML_gap,1,P19,prazos sempre foram extremamente curtos para realizar um estudo aprofundado... empresas com menor capital tendem a ser mais exploratórias e desorganizadas
trabalho_demorado,Tedious and time-consuming process,T6_RE_ML_gap,1,P23,"trabalhoso e demorado, pois é preciso ter o entendimento do contexto de negócio... regras estão na cabeça do usuário"
