respondent_id,question,response
0,re_experience,"Sim, foi uma ótima experiência, embora complicada."
1,re_experience,Não 
2,re_experience,"Geralmente,  são os primeiros passos quando começamos um projeto aqui."
3,re_experience,"Trabalho em um projeto a dois anos onde desenvolvemos uma ferramenta que utiliza ML e visão computacional. Durante esses dois anos só foram levantados requisitos dos softwares que envolviam a ferramenta (web, mobile, api) mas não do modelo de ML em si, que era desenvolvido exclusivamente pela equipe de IA. Apenas durante os últimos meses levantei a necessidade de termos requisitos claros estabelecidos para o modelo, para alinhar o comportamento e performance desse as expectativas dos stakeholders. Realizei pessoalmente, com auxílio do time de QA, a definição e documentação de requisitos do modelo. A partir disso, ficou muito claro como e o que era necessário testar no modelo para garantir a qualidade. Isso nos permitiu ir além das métricas tradicionais obtidas com hold-out validation e obter análises mais completas."
4,re_experience,Já participei de todas as fases do ciclo de um projeto em Ciência de Dados.
5,re_experience,Não 
6,re_experience,Não
7,re_experience,"Já participei de projetos de diversas aplicações, metodologias e tecnologias usadas. Projetos de dados na área de engenharia analise e ciencia de dados para principalmente economia, educação, saúde"
8,re_experience,"Registro formal dos requisitos em documentos detalhados, que podem incluir especificações funcionais e não funcionais, casos de uso."
9,re_experience,"Ainda não tive experiência com requisitos em projetos maiores,  apenas em trabalhos acadêmicos."
10,re_experience,"Sim, já participei de alguns processos de elicitação de requisitos, como análise de documentos e entrevistas semiestruturadas."
11,re_experience,Nunca participei.
12,re_experience,"Sim, já participei e principalmente em disciplinas na universidade. Não é a etapa do projeto que mais me instigou, mas achei de extremamente importância porque era o que nos guiava tanto no desenvolvimento como a compartilhar as etapas de desenvolvimento com quem não participava do projeto."
13,re_experience,"Nesse caso, minha experiência nessa parte é mais voltada para a documentação do código e na criação de diagramas referentes a pipelines,  já participei de algumas auditorias feitas pelo time de requisitos mas não me considero uma pessoa com experiência na área. "
14,re_experience,Somente documentação de dependências e bibliotecas.
15,re_experience,"Sim, já participei de processos de refinamento de requisitos, onde discutimos com a equipe a complexidade e capacidade do time para construir as soluções."
16,re_experience,"Sim, participo e acontece no escopo analise e desenho dos processos de negócio implicados na mudança resolvida com o projeto. "
17,re_experience,Não
18,re_experience,Sim
19,re_experience,"Diria que minha experiência em Engenharia de Requisitos é limitada; seria mais preciso dizer que tenho bastante experiência na coleta de requisitos. Já participei de diversas definições, análises e documentações breves, mas os prazos sempre foram extremamente curtos para realizar um estudo aprofundado. Isso ocorre porque, muitas vezes, é necessário propor uma solução rapidamente e submetê-la para aprovação. Além disso, a postura do cliente influencia bastante esse processo. Frequentemente, investimos muito tempo tentando extrair dele os pontos-chave daquilo que ele acredita precisar, para então conseguirmos estruturar minimamente as informações. É claro que isso varia conforme o porte da empresa. Empresas com menor capital tendem a ser mais exploratórias e desorganizadas, enquanto as de capital elevado costumam ser mais restritivas e objetivas. No entanto, sempre há exceções, e algumas grandes empresas fazem exigências tão peculiares que acabam dificultando ainda mais a estruturação do projeto."
20,re_experience,Nunca participei de atividades de engenharia de requisitos
21,re_experience,…
22,re_experience,Documentar sobre os requisitos funcionais como integracoes utilizando API e cadastros de usuarios
